index,Name,FA_Year,Contract,Age_x,eFG,PPG,APG,RPG,SPG,BPG,MPG,is_AllStar,is_AllNBA,ID,Pos,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season
0,Wesley Matthews,2019,2564753.0,32.0,0.5071633237822349,12.173913043478262,2.318840579710145,2.463768115942029,0.782608695652174,0.2463768115942029,30.304347826086957,0.0,0.0,202083.0,SF-SG,1.1,1.5,2.7,0.062,-1.4,-0.5,-1.8,0.1,2018-19
87,Wesley Matthews,2015,17699435.25,28.0,0.5631648936170213,15.933333333333334,2.316666666666667,3.7,1.2833333333333334,0.16666666666666666,33.733333333333334,0.0,0.0,202083.0,SG,4.0,2.2,6.2,0.147,2.0,1.1,3.1,2.6,2014-15
1,Brook Lopez,2015,21165675.0,27.0,0.5131712259371833,17.166666666666668,0.6944444444444444,7.430555555555555,0.5972222222222222,1.75,29.166666666666668,0.0,0.0,201572.0,C,4.7,2.2,7.0,0.159,1.8,-0.7,1.2,1.6,2014-15
109,DeAndre Jordan,2015,21598556.25,26.0,0.7106741573033708,11.536585365853659,0.7439024390243902,14.951219512195122,0.9878048780487805,2.231707317073171,34.390243902439025,0.0,1.0,201599.0,C,7.4,5.4,12.8,0.217,2.2,0.7,2.9,3.5,2014-15
3,Markieff Morris,2015,8143323.5,25.0,0.4913636363636364,15.341463414634147,2.341463414634146,6.170731707317073,1.2317073170731707,0.47560975609756095,31.475609756097562,0.0,0.0,202693.0,PF,1.8,2.7,4.6,0.085,-0.5,0.2,-0.3,1.1,2014-15
4,Dwight Howard,2018,13410739.0,32.0,0.5559824368825467,16.62962962962963,1.2962962962962963,12.493827160493828,0.5925925925925926,1.617283950617284,30.40740740740741,0.0,0.0,2730.0,C,2.9,3.9,6.8,0.132,-0.3,0.1,-0.1,1.2,2017-18
47,Dwight Howard,2016,23752241.666666668,30.0,0.62,13.746478873239436,1.380281690140845,11.76056338028169,0.971830985915493,1.591549295774648,32.11267605633803,0.0,0.0,2730.0,C,3.5,3.1,6.6,0.138,0.3,-0.2,0.1,1.2,2015-16
5,Austin Rivers,2015,7055398.0,22.0,0.4485887096774194,6.973684210526316,2.039473684210526,2.0,0.631578947368421,0.18421052631578946,20.56578947368421,0.0,0.0,203085.0,SG,0.5,1.0,1.5,0.046,-2.5,-0.3,-2.8,-0.3,2014-15
5,Austin Rivers,2015,7055398.0,22.0,0.4485887096774194,6.973684210526316,2.039473684210526,2.0,0.631578947368421,0.18421052631578946,20.56578947368421,0.0,0.0,203085.0,SG,0.4,0.3,0.7,0.046,-2.5,-0.5,-3.0,-0.2,2014-15
5,Austin Rivers,2015,7055398.0,22.0,0.4485887096774194,6.973684210526316,2.039473684210526,2.0,0.631578947368421,0.18421052631578946,20.56578947368421,0.0,0.0,203085.0,SG,0.1,0.7,0.8,0.046,-2.5,-0.1,-2.7,-0.1,2014-15
22,Austin Rivers,2019,2174310.0,26.0,0.4965034965034965,8.131578947368421,2.1973684210526314,2.1315789473684212,0.618421052631579,0.3026315789473684,26.68421052631579,0.0,0.0,203085.0,SG,0.4,0.8,1.2,0.028,-3.3,-1.0,-4.3,-1.1,2018-19
56,Austin Rivers,2016,11993441.333333334,23.0,0.49806201550387597,8.850746268656716,1.4776119402985075,1.9402985074626866,0.7164179104477612,0.13432835820895522,21.850746268656717,0.0,0.0,203085.0,SG,0.6,1.3,1.9,0.063,-2.2,-0.5,-2.7,-0.2,2015-16
6,Wayne Ellington,2016,6135000.0,28.0,0.4741532976827095,7.7105263157894735,1.0921052631578947,2.289473684210526,0.631578947368421,0.06578947368421052,21.25,0.0,0.0,201961.0,SG,0.5,0.3,0.8,0.025,-1.5,-1.3,-2.8,-0.3,2015-16
161,Wayne Ellington,2015,3750000.0,27.0,0.4846029173419773,10.0,1.6153846153846154,3.230769230769231,0.5076923076923077,0.03076923076923077,25.76923076923077,0.0,0.0,201961.0,SG,1.1,0.1,1.2,0.034,-0.5,-1.8,-2.3,-0.1,2014-15
7,JaMychal Green,2019,4767000.0,29.0,0.5577731092436975,9.4,0.7692307692307693,6.292307692307692,0.6923076923076923,0.5230769230769231,21.092307692307692,0.0,0.0,203210.0,PF,0.9,1.9,2.9,0.101,-1.3,-0.4,-1.7,0.1,2018-19
