,PERSON_ID,DISPLAY_FIRST_LAST,TEAM_ID,TEAM_ABBREVIATION,FROM_YEAR,TO_YEAR,GREATEST_75_FLAG
0,1630173,Precious Achiuwa,1610612752,NYK,2020.0,2024.0,N
1,203500,Steven Adams,1610612745,HOU,2013.0,2024.0,N
2,1628389,Bam Adebayo,1610612748,MIA,2017.0,2024.0,N
3,1630534,Ochai Agbaji,1610612761,TOR,2022.0,2024.0,N
4,1630583,Santi Aldama,1610612763,MEM,2021.0,2024.0,N
5,1629638,Nickeil Alexander-Walker,1610612750,MIN,2019.0,2024.0,N
6,1628960,Grayson Allen,1610612756,PHX,2018.0,2024.0,N
7,1628386,Jarrett Allen,1610612739,CLE,2017.0,2024.0,N
8,1630631,Jose Alvarado,1610612740,NOP,2021.0,2024.0,N
9,203937,Kyle Anderson,1610612744,GSW,2014.0,2024.0,N
10,203507,Giannis Antetokounmpo,1610612749,MIL,2013.0,2024.0,Y
11,203648,Thanasis Antetokounmpo,1610612749,MIL,2015.0,2024.0,N
12,1630175,Cole Anthony,1610612753,ORL,2020.0,2024.0,N
13,1628384,OG Anunoby,1610612752,NYK,2017.0,2024.0,N
14,1627853,Ryan Arcidiacono,0,,2017.0,2023.0,N
15,1630166,Deni Avdija,1610612757,POR,2020.0,2024.0,N
16,1629028,Deandre Ayton,1610612757,POR,2018.0,2024.0,N
17,1628962,Udoka Azubuike,1610612756,PHX,2020.0,2024.0,N
18,1628963,Marvin Bagley III,1610612764,WAS,2018.0,2024.0,N
19,1641735,Amari Bailey,1610612766,CHA,2023.0,2023.0,N
20,1631116,Patrick Baldwin Jr.,1610612764,WAS,2022.0,2024.0,N
21,1630163,LaMelo Ball,1610612766,CHA,2020.0,2024.0,N
22,1628366,Lonzo Ball,1610612741,CHI,2017.0,2024.0,N
23,1628964,Mo Bamba,1610612746,LAC,2018.0,2024.0,N
24,1631094,Paolo Banchero,1610612753,ORL,2022.0,2024.0,N
25,1630217,Desmond Bane,1610612763,MEM,2020.0,2024.0,N
26,1630625,Dalano Banton,1610612757,POR,2021.0,2024.0,N
27,1631230,Dominick Barlow,1610612759,SAS,2022.0,2023.0,N
28,203084,Harrison Barnes,1610612759,SAS,2012.0,2024.0,N
29,1630567,Scottie Barnes,1610612761,TOR,2021.0,2024.0,N
30,1629628,RJ Barrett,1610612761,TOR,2019.0,2024.0,N
31,1629646,Charles Bassey,1610612759,SAS,2021.0,2024.0,N
32,1641734,Emoni Bates,1610612739,CLE,2023.0,2024.0,N
33,1628966,Keita Bates-Diop,1610612752,NYK,2018.0,2024.0,N
34,201587,Nicolas Batum,1610612746,LAC,2008.0,2024.0,N
35,203078,Bradley Beal,1610612756,PHX,2012.0,2024.0,N
36,1627736,Malik Beasley,1610612765,DET,2016.0,2024.0,N
37,1630699,MarJon Beauchamp,1610612749,MIL,2021.0,2024.0,N
38,1641777,Charles Bediako,0,,,,N
39,202722,Dāvis Bertāns,1610612766,CHA,2016.0,2023.0,N
40,201976,Patrick Beverley,1610612749,MIL,2012.0,2024.0,N
41,1630180,Saddiq Bey,1610612764,WAS,2020.0,2024.0,N
42,1629048,Goga Bitadze,1610612753,ORL,2019.0,2024.0,N
43,1641931,Onuralp Bitim,1610612741,CHI,2023.0,2024.0,N
44,202687,Bismack Biyombo,1610612760,OKC,2011.0,2023.0,N
45,1641710,Anthony Black,1610612753,ORL,2023.0,2024.0,N
46,1641778,Leaky Black,1610612766,CHA,2023.0,2024.0,N
47,203992,Bogdan Bogdanovic,1610612737,ATL,2017.0,2024.0,N
48,202711,Bojan Bogdanovic,1610612751,BKN,2014.0,2024.0,N
49,1629626,Bol Bol,1610612756,PHX,2019.0,2024.0,N
50,1629716,Marques Bolden,1610612766,CHA,2019.0,2023.0,N
51,1626164,Devin Booker,1610612756,PHX,2015.0,2024.0,N
52,1630527,Brandon Boston Jr.,1610612746,LAC,2021.0,2024.0,N
53,1628449,Chris Boucher,1610612761,TOR,2017.0,2024.0,N
54,1630547,James Bouknight,0,,2021.0,2023.0,N
55,1631103,Malaki Branham,1610612759,SAS,2022.0,2024.0,N
56,1631128,Christian Braun,1610612743,DEN,2022.0,2024.0,N
57,1628969,Mikal Bridges,1610612752,NYK,2018.0,2024.0,N
58,1628970,Miles Bridges,1610612766,CHA,2018.0,2024.0,N
59,1629052,Oshae Brissett,1610612738,BOS,2019.0,2024.0,N
60,1627763,Malcolm Brogdon,1610612764,WAS,2016.0,2024.0,N
61,1629717,Armoni Brooks,0,,2020.0,2023.0,N
62,1628415,Dillon Brooks,1610612745,HOU,2017.0,2024.0,N
63,1628971,Bruce Brown,1610612761,TOR,2018.0,2024.0,N
64,1627759,Jaylen Brown,1610612738,BOS,2016.0,2024.0,N
65,1631112,Kendall Brown,1610612754,IND,2022.0,2024.0,N
66,1641738,Kobe Brown,1610612746,LAC,2023.0,2024.0,N
67,1629650,Moses Brown,1610612757,POR,2019.0,2024.0,N
68,1630535,Greg Brown III,1610612742,DAL,2021.0,2024.0,N
69,1629718,Charlie Brown Jr.,1610612752,NYK,2019.0,2024.0,N
70,1628972,Troy Brown Jr.,1610612765,DET,2018.0,2023.0,N
71,1628973,Jalen Brunson,1610612752,NYK,2018.0,2024.0,N
72,1628418,Thomas Bryant,1610612748,MIA,2017.0,2024.0,N
73,1641723,Kobe Bufkin,1610612737,ATL,2023.0,2024.0,N
74,203493,Reggie Bullock Jr.,1610612745,HOU,2013.0,2024.0,N
75,202692,Alec Burks,1610612748,MIA,2011.0,2024.0,N
76,1630215,Jared Butler,1610612764,WAS,2021.0,2024.0,N
77,202710,Jimmy Butler,1610612748,MIA,2011.0,2024.0,N
78,1631219,John Butler Jr.,1610612757,POR,2022.0,2022.0,N
79,1631288,Jamal Cain,1610612740,NOP,2022.0,2024.0,N
80,203484,Kentavious Caldwell-Pope,1610612753,ORL,2013.0,2024.0,N
81,1641739,Toumani Camara,1610612757,POR,2023.0,2024.0,N
82,1628427,Vlatko Cancar,1610612743,DEN,2019.0,2024.0,N
83,203991,Clint Capela,1610612737,ATL,2014.0,2024.0,N
84,1628975,Jevon Carter,1610612741,CHI,2018.0,2024.0,N
85,1628976,Wendell Carter Jr.,1610612753,ORL,2018.0,2024.0,N
86,1627936,Alex Caruso,1610612760,OKC,2017.0,2024.0,N
87,1630658,Colin Castleton,1610612747,LAL,2023.0,2024.0,N
88,1630608,Malcolm Cazalon,0,,2023.0,2023.0,N
89,1630577,Julian Champagnie,1610612759,SAS,2022.0,2024.0,N
90,1631108,Max Christie,1610612747,LAL,2022.0,2024.0,N
91,1630528,Josh Christopher,1610612745,HOU,2021.0,2022.0,N
92,1631321,Sidy Cissoko,1610612759,SAS,2022.0,2024.0,N
93,1641740,Jaylen Clark,1610612750,MIN,2023.0,2024.0,N
94,1629634,Brandon Clarke,1610612763,MEM,2019.0,2024.0,N
95,203903,Jordan Clarkson,1610612762,UTA,2014.0,2024.0,N
96,1629651,Nic Claxton,1610612751,BKN,2019.0,2024.0,N
97,1641730,Noah Clowney,1610612751,BKN,2023.0,2024.0,N
98,1629599,Amir Coffey,1610612746,LAC,2019.0,2024.0,N
99,1628381,John Collins,1610612762,UTA,2017.0,2024.0,N
100,1628380,Zach Collins,1610612759,SAS,2017.0,2024.0,N
101,201144,Mike Conley,1610612750,MIN,2007.0,2024.0,N
102,1626192,Pat Connaughton,1610612749,MIL,2015.0,2024.0,N
103,1641731,Bilal Coulibaly,1610612764,WAS,2023.0,2024.0,N
104,1641741,Ricky Council IV,1610612755,PHI,2023.0,2024.0,N
105,203496,Robert Covington,1610612755,PHI,2013.0,2023.0,N
106,1628470,Torrey Craig,1610612741,CHI,2017.0,2024.0,N
107,203109,Jae Crowder,1610612749,MIL,2012.0,2024.0,N
108,1630595,Cade Cunningham,1610612765,DET,2021.0,2024.0,N
109,203552,Seth Curry,1610612766,CHA,2013.0,2024.0,N
110,201939,Stephen Curry,1610612744,GSW,2009.0,2024.0,Y
111,1630700,Dyson Daniels,1610612737,ATL,2021.0,2024.0,N
112,203076,Anthony Davis,1610612747,LAL,2012.0,2024.0,Y
113,1631098,Johnny Davis,1610612764,WAS,2022.0,2024.0,N
114,1631120,JD Davison,1610612738,BOS,2022.0,2024.0,N
115,201942,DeMar DeRozan,1610612758,SAC,2009.0,2024.0,N
116,1641926,Dexter Dennis,0,,2023.0,2023.0,N
117,1628978,Donte DiVincenzo,1610612752,NYK,2018.0,2024.0,N
118,1631217,Moussa Diabate,1610612746,LAC,2022.0,2024.0,N
119,1641711,Gradey Dick,1610612761,TOR,2023.0,2024.0,N
120,1631172,Ousmane Dieng,1610612760,OKC,2022.0,2024.0,N
121,203915,Spencer Dinwiddie,1610612747,LAL,2014.0,2024.0,N
122,1629029,Luka Doncic,1610612742,DAL,2018.0,2024.0,N
123,1629652,Luguentz Dort,1610612760,OKC,2019.0,2024.0,N
124,1630245,Ayo Dosunmu,1610612741,CHI,2021.0,2024.0,N
125,203083,Andre Drummond,1610612755,PHI,2012.0,2024.0,N
126,1630537,Chris Duarte,1610612741,CHI,2021.0,2024.0,N
127,1627739,Kris Dunn,1610612746,LAC,2016.0,2024.0,N
128,201142,Kevin Durant,1610612756,PHX,2007.0,2024.0,Y
129,1631105,Jalen Duren,1610612765,DET,2022.0,2024.0,N
130,1631106,Tari Eason,1610612745,HOU,2022.0,2024.0,N
131,1630162,Anthony Edwards,1610612750,MIN,2020.0,2024.0,N
132,1630556,Kessler Edwards,1610612758,SAC,2021.0,2024.0,N
133,1631165,Keon Ellis,1610612758,SAC,2022.0,2024.0,N
134,203954,Joel Embiid,1610612755,PHI,2014.0,2024.0,N
135,1629234,Drew Eubanks,1610612756,PHX,2018.0,2024.0,N
136,203957,Dante Exum,1610612742,DAL,2014.0,2024.0,N
137,1628981,Bruno Fernando,1610612737,ATL,2019.0,2024.0,N
138,1627827,Dorian Finney-Smith,1610612751,BKN,2016.0,2024.0,N
139,1630201,Malachi Flynn,1610612765,DET,2020.0,2023.0,N
