ID,Name,Position,AVG_SALARY,FA_Year,Prev_Season
2730.0,Dwight Howard,C,2600000.0,2020,2019-20
101108.0,Chris Paul,PG,30000000.0,2021,2020-21
101150.0,Lou Williams,SG,5000000.0,2021,2020-21
200765.0,Rajon Rondo,PG,7500000.0,2020,2019-20
200768.0,Kyle Lowry,PG,30000000.0,2021,2020-21
200782.0,P.J. Tucker,PF,7500000.0,2021,2020-21
200782.0,P.J. Tucker,PF,11066666.666666668,2022,2021-22
200794.0,Paul Millsap,PF,10000000.0,2020,2019-20
201144.0,Mike Conley,PG,24666666.666666668,2021,2020-21
201145.0,Jeff Green,PF,5000000.0,2021,2020-21
201145.0,Jeff Green,PF,6000000.0,2023,2022-23
201152.0,Thaddeus Young,PF,8000000.0,2022,2021-22
201162.0,Jared Dudley,PF,2600000.0,2020,2019-20
201188.0,Marc Gasol,C,2650000.0,2020,2019-20
201565.0,Derrick Rose,PG,14333333.333333334,2021,2020-21
201565.0,Derrick Rose,PG,3250000.0,2023,2022-23
201566.0,Russell Westbrook,PG,4000000.0,2023,2022-23
201568.0,Danilo Gallinari,PF,20500000.0,2020,2019-20
201568.0,Danilo Gallinari,PF,6500000.0,2022,2021-22
201571.0,D.J. Augustin,PG,7000000.0,2020,2019-20
201572.0,Brook Lopez,C,24000000.0,2023,2022-23
201577.0,Robin Lopez,C,5000000.0,2021,2020-21
201580.0,JaVale McGee,C,5000000.0,2021,2020-21
201580.0,JaVale McGee,C,6700000.0,2022,2021-22
201586.0,Serge Ibaka,C,9500000.0,2020,2019-20
201587.0,Nicolas Batum,PF,11000000.0,2022,2021-22
201588.0,George Hill,PG,4000000.0,2021,2020-21
201609.0,Goran Dragic,PG,18700000.0,2020,2019-20
201935.0,James Harden,PG,34300000.0,2022,2021-22
201937.0,Ricky Rubio,PG,6133333.333333333,2022,2021-22
201942.0,DeMar DeRozan,SF,28333333.33333333,2021,2020-21
201959.0,Taj Gibson,C,2700000.0,2021,2020-21
201976.0,Patrick Beverley,PG,3200000.0,2023,2022-23
201988.0,Patty Mills,PG,6000000.0,2021,2020-21
201988.0,Patty Mills,G,7250000.0,2022,2021-22
202066.0,Garrett Temple,SG,5000000.0,2020,2019-20
202083.0,Wesley Matthews,SG,3600000.0,2020,2019-20
202322.0,John Wall,PG,6600000.0,2022,2021-22
202324.0,Derrick Favors,C,9000000.0,2020,2019-20
202330.0,Gordon Hayward,SF,30000000.0,2020,2019-20
202340.0,Avery Bradley,PG,5800000.0,2020,2019-20
202681.0,Kyrie Irving,PG,42000000.0,2023,2022-23
202684.0,Tristan Thompson,C,9500000.0,2020,2019-20
202689.0,Kemba Walker,PG,8000000.0,2021,2020-21
202692.0,Alec Burks,SG,6000000.0,2020,2019-20
202692.0,Alec Burks,SG,10000000.0,2021,2020-21
202695.0,Kawhi Leonard,SF,44075000.0,2021,2020-21
202704.0,Reggie Jackson,PG,11000000.0,2021,2020-21
202704.0,Reggie Jackson,PG,5150000.0,2023,2022-23
