,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,2730,2019-20,00,1610612747,LAL,34.0,69,2,1306.0,202,277,0.729,3,5,0.6,110,214,0.514,172,335,507,45,31,79,84,222,517
1,101108,2020-21,00,1610612756,PHX,36.0,70,70,2200.0,439,879,0.499,102,258,0.395,169,181,0.934,25,287,312,622,99,19,156,166,1149
2,101150,2020-21,00,0,TOT,34.0,66,4,1423.0,265,646,0.41,69,173,0.399,150,173,0.867,21,117,138,225,47,6,108,62,749
3,200765,2019-20,00,1610612747,LAL,34.0,48,3,984.0,137,328,0.418,41,125,0.328,27,41,0.659,23,119,142,240,40,2,91,58,342
4,200768,2020-21,00,1610612761,TOR,35.0,46,46,1602.0,260,596,0.436,131,331,0.396,140,160,0.875,35,212,247,338,45,14,126,143,791
5,200782,2020-21,00,0,TOT,36.0,52,33,1356.0,66,177,0.373,40,119,0.336,21,28,0.75,51,153,204,61,39,20,40,125,193
6,200782,2021-22,00,1610612748,MIA,37.0,71,70,1981.0,207,428,0.484,80,193,0.415,45,61,0.738,100,287,387,149,58,15,66,161,539
7,200794,2019-20,00,1610612743,DEN,35.0,51,48,1240.0,211,438,0.482,54,124,0.435,115,141,0.816,98,195,293,83,44,30,70,150,591
8,201144,2020-21,00,1610612762,UTA,33.0,51,51,1498.0,284,640,0.444,138,335,0.412,121,142,0.852,36,141,177,305,70,9,99,98,827
9,201145,2020-21,00,1610612751,BKN,34.0,68,38,1835.0,261,530,0.492,103,250,0.412,125,161,0.776,34,229,263,108,36,27,54,122,750
10,201145,2022-23,00,1610612743,DEN,36.0,56,4,1091.0,160,328,0.488,30,104,0.288,87,117,0.744,38,106,144,69,18,17,46,99,437
11,201152,2021-22,00,0,TOT,34.0,52,1,845.0,141,272,0.518,17,48,0.354,23,49,0.469,80,128,208,104,54,18,52,81,322
12,201162,2019-20,00,1610612747,LAL,34.0,45,1,364.0,24,60,0.4,18,42,0.429,2,2,1.0,6,46,52,28,15,3,8,41,68
13,201188,2019-20,00,1610612761,TOR,35.0,44,43,1161.0,119,279,0.427,57,148,0.385,36,49,0.735,31,244,275,147,34,38,59,124,331
14,201565,2020-21,00,0,TOT,32.0,50,3,1279.0,287,611,0.47,50,129,0.388,110,127,0.866,20,110,130,209,49,19,78,56,734
15,201565,2022-23,00,1610612752,NYK,34.0,27,0,338.0,61,159,0.384,19,63,0.302,11,12,0.917,8,32,40,46,7,5,22,18,152
16,201566,2022-23,00,0,TOT,34.0,73,24,2126.0,432,991,0.436,89,286,0.311,206,314,0.656,89,334,423,551,76,33,255,162,1159
17,201568,2019-20,00,1610612760,OKC,31.0,62,62,1834.0,358,817,0.438,178,439,0.405,266,298,0.893,34,288,322,119,42,5,76,75,1160
18,201568,2021-22,00,1610612737,ATL,33.0,66,18,1672.0,259,597,0.434,112,294,0.381,141,156,0.904,35,273,308,101,28,12,38,93,771
19,201571,2019-20,00,1610612753,ORL,32.0,57,13,1420.0,184,461,0.399,70,201,0.348,161,181,0.89,22,100,122,262,34,1,86,72,599
20,201572,2022-23,00,1610612749,MIL,35.0,78,78,2372.0,477,899,0.531,136,364,0.374,149,190,0.784,157,363,520,99,37,193,107,203,1239
21,201577,2020-21,00,1610612764,WAS,33.0,71,9,1354.0,269,425,0.633,5,18,0.278,99,137,0.723,141,131,272,55,15,44,75,109,642
22,201580,2020-21,00,0,TOT,33.0,46,2,678.0,144,282,0.511,5,24,0.208,44,67,0.657,77,162,239,39,19,54,60,121,337
23,201580,2021-22,00,1610612756,PHX,34.0,74,17,1172.0,288,458,0.629,2,9,0.222,102,146,0.699,163,333,496,42,22,81,98,181,680
24,201586,2019-20,00,1610612761,TOR,30.0,55,27,1485.0,343,670,0.512,70,182,0.385,89,124,0.718,114,338,452,77,28,46,109,153,845
25,201587,2021-22,00,1610612746,LAC,33.0,59,54,1463.0,179,387,0.463,108,270,0.4,25,38,0.658,29,225,254,100,58,42,40,80,491
26,201588,2020-21,00,0,TOT,35.0,30,17,672.0,95,197,0.482,31,80,0.388,40,50,0.8,16,45,61,73,23,5,31,31,261
27,201609,2019-20,00,1610612748,MIA,34.0,59,3,1663.0,319,724,0.441,124,338,0.367,191,246,0.776,29,158,187,301,40,10,144,124,953
28,201935,2021-22,00,0,TOT,32.0,65,65,2420.0,407,992,0.41,148,448,0.33,470,536,0.877,55,445,500,667,82,36,284,153,1432
29,201937,2021-22,00,1610612739,CLE,31.0,34,8,970.0,149,411,0.363,59,174,0.339,88,103,0.854,15,126,141,225,49,7,90,75,445
30,201942,2020-21,00,1610612759,SAS,31.0,61,61,2056.0,455,920,0.495,19,74,0.257,387,440,0.88,40,219,259,422,56,15,119,128,1316
31,201959,2020-21,00,1610612752,NYK,36.0,45,3,936.0,99,158,0.627,3,15,0.2,40,55,0.727,99,151,250,36,31,49,22,99,241
32,201976,2022-23,00,0,TOT,34.0,67,67,1817.0,144,360,0.4,80,239,0.335,47,65,0.723,44,203,247,194,63,41,60,187,415
33,201988,2020-21,00,1610612759,SAS,32.0,68,1,1685.0,252,611,0.412,161,429,0.375,71,78,0.91,18,98,116,162,42,3,66,81,736
34,201988,2021-22,00,1610612751,BKN,33.0,81,48,2346.0,324,794,0.408,227,568,0.4,48,59,0.814,18,138,156,183,51,17,73,112,923
35,202066,2019-20,00,1610612751,BKN,34.0,62,35,1730.0,222,587,0.378,127,386,0.329,70,87,0.805,29,189,218,156,49,29,62,108,641
36,202083,2019-20,00,1610612749,MIL,33.0,67,67,1635.0,167,422,0.396,108,297,0.364,52,68,0.765,22,144,166,92,38,9,43,103,494
37,202324,2019-20,00,1610612740,NOP,28.0,51,49,1242.0,209,339,0.617,1,7,0.143,40,71,0.563,163,338,501,81,30,46,55,107,459
38,202330,2019-20,00,1610612738,BOS,30.0,52,52,1740.0,350,700,0.5,85,222,0.383,124,145,0.855,55,293,348,212,38,22,96,96,909
39,202340,2019-20,00,1610612747,LAL,29.0,49,44,1186.0,170,383,0.444,63,173,0.364,20,24,0.833,18,97,115,63,43,5,47,110,423
40,202681,2022-23,00,0,TOT,31.0,60,60,2241.0,594,1203,0.494,188,496,0.379,247,273,0.905,59,245,304,331,66,45,128,165,1623
41,202684,2019-20,00,1610612739,CLE,29.0,57,51,1722.0,288,562,0.512,9,23,0.391,99,161,0.615,226,351,577,120,33,50,103,124,684
42,202689,2020-21,00,1610612738,BOS,31.0,43,43,1369.0,284,676,0.42,127,353,0.36,134,149,0.899,16,154,170,212,48,12,88,61,829
43,202692,2019-20,00,0,TOT,28.0,66,19,1754.0,321,768,0.418,116,301,0.385,235,265,0.887,48,234,282,189,62,17,91,128,993
44,202692,2020-21,00,1610612752,NYK,29.0,49,5,1255.0,210,500,0.42,102,246,0.415,101,118,0.856,21,206,227,107,31,14,49,102,623
45,202695,2020-21,00,1610612746,LAC,30.0,52,52,1772.0,465,908,0.512,101,254,0.398,261,295,0.885,55,282,337,269,81,21,105,82,1292
46,202704,2020-21,00,1610612746,LAC,31.0,67,43,1544.0,263,585,0.45,122,282,0.433,67,82,0.817,24,168,192,205,41,7,74,127,715
47,202704,2022-23,00,0,TOT,33.0,68,40,1657.0,263,640,0.411,96,288,0.333,71,78,0.91,25,119,144,233,47,6,115,114,693
48,202709,2020-21,00,0,TOT,29.0,63,13,1446.0,200,426,0.469,45,132,0.341,72,88,0.818,35,124,159,213,61,18,79,139,517
49,202734,2019-20,00,1610612740,NOP,31.0,56,6,1020.0,186,437,0.426,63,167,0.377,31,45,0.689,31,100,131,78,32,11,40,80,466
50,202734,2020-21,00,1610612756,PHX,32.0,27,1,389.0,55,121,0.455,11,35,0.314,12,14,0.857,14,31,45,40,15,5,23,32,133
51,202954,2019-20,00,1610612738,BOS,30.0,71,1,1369.0,162,362,0.448,37,102,0.363,126,136,0.926,22,122,144,179,61,14,76,133,487
52,203076,2019-20,00,1610612747,LAL,27.0,62,62,2131.0,551,1096,0.503,72,218,0.33,444,525,0.846,142,435,577,200,91,143,154,156,1618
53,203078,2021-22,00,1610612764,WAS,29.0,40,40,1439.0,348,771,0.451,63,210,0.3,169,203,0.833,38,151,189,265,36,15,135,95,928
54,203083,2021-22,00,0,TOT,28.0,73,36,1437.0,247,433,0.57,0,3,0.0,86,164,0.524,229,451,680,131,78,68,115,192,580
55,203086,2019-20,00,1610612748,MIA,28.0,51,49,1034.0,119,234,0.509,53,128,0.414,18,28,0.643,30,230,260,55,14,15,39,107,309
56,203090,2019-20,00,0,TOT,27.0,62,48,1427.0,142,283,0.502,34,98,0.347,39,66,0.591,55,185,240,68,58,33,53,148,357
57,203090,2020-21,00,0,TOT,28.0,37,23,772.0,69,165,0.418,23,84,0.274,33,43,0.767,13,76,89,44,30,20,22,86,194
58,203095,2020-21,00,0,TOT,28.0,42,36,1259.0,247,541,0.457,117,283,0.413,108,137,0.788,10,118,128,144,47,19,73,96,719
59,203109,2019-20,00,0,TOT,29.0,65,53,1875.0,226,563,0.401,135,394,0.343,97,125,0.776,52,332,384,161,72,24,69,143,684
60,203110,2022-23,00,1610612744,GSW,33.0,73,73,2298.0,250,474,0.527,40,131,0.305,77,108,0.713,66,459,525,500,74,60,204,229,617
61,203114,2022-23,00,1610612749,MIL,31.0,33,19,801.0,177,406,0.436,51,162,0.315,92,102,0.902,28,112,140,163,23,5,71,68,497
62,203115,2020-21,00,1610612743,DEN,30.0,56,52,1736.0,259,608,0.426,98,257,0.381,95,121,0.785,39,187,226,181,50,23,96,95,711
63,203145,2019-20,00,0,TOT,30.0,68,21,1688.0,200,534,0.375,84,244,0.344,113,147,0.769,27,267,294,93,74,40,91,196,597
