Tm,Season,Name,Season_start,is_AllNBA
1st,2023-24,Nikola Jokic,2023,1
2nd,2023-24,Anthony Davis,2023,1
3rd,2023-24,LeBron James,2023,1
1st,2022-23,Joel Embiid,2022,1
2nd,2022-23,Nikola Jokic,2022,1
3rd,2022-23,Domantas Sabonis,2022,1
1st,2021-22,Nikola Jokic,2021,1
2nd,2021-22,Joel Embiid,2021,1
3rd,2021-22,Karl-Anthony Towns,2021,1
1st,2020-21,Nikola Jokic,2020,1
2nd,2020-21,Joel Embiid,2020,1
3rd,2020-21,Rudy Gobert,2020,1
1st,2019-20,Anthony Davis,2019,1
2nd,2019-20,Nikola Jokic,2019,1
3rd,2019-20,Rudy Gobert,2019,1
1st,2018-19,Nikola Jokic,2018,1
2nd,2018-19,Joel Embiid,2018,1
3rd,2018-19,Rudy Gobert,2018,1
1st,2017-18,Anthony Davis,2017,1
2nd,2017-18,Joel Embiid,2017,1
3rd,2017-18,Karl-Anthony Towns,2017,1
1st,2016-17,Anthony Davis,2016,1
2nd,2016-17,Rudy Gobert,2016,1
3rd,2016-17,DeAndre Jordan,2016,1
1st,2015-16,DeAndre Jordan,2015,1
2nd,2015-16,DeMarcus Cousins,2015,1
3rd,2015-16,Andre Drummond,2015,1
1st,2014-15,Marc Gasol,2014,1
2nd,2014-15,DeMarcus Cousins,2014,1
3rd,2014-15,DeAndre Jordan,2014,1
1st,2013-14,Joakim Noah,2013,1
2nd,2013-14,Dwight Howard,2013,1
3rd,2013-14,Al Jefferson,2013,1
1st,2012-13,Tim Duncan,2012,1
2nd,2012-13,Marc Gasol,2012,1
3rd,2012-13,Dwight Howard,2012,1
1st,2011-12,Dwight Howard,2011,1
2nd,2011-12,Andrew Bynum,2011,1
3rd,2011-12,Tyson Chandler,2011,1
1st,2010-11,Dwight Howard,2010,1
2nd,2010-11,Amar'e Stoudemire,2010,1
3rd,2010-11,Al Horford,2010,1
1st,2023-24,Giannis Antetokounmpo,2023,1
2nd,2023-24,Kevin Durant,2023,1
3rd,2023-24,Domantas Sabonis,2023,1
1st,2022-23,Giannis Antetokounmpo,2022,1
2nd,2022-23,Jimmy Butler,2022,1
3rd,2022-23,LeBron James,2022,1
1st,2021-22,Giannis Antetokounmpo,2021,1
2nd,2021-22,Kevin Durant,2021,1
3rd,2021-22,LeBron James,2021,1
