team,year,Name,Season,isAllStar
OKC,2011,Kevin Durant,2011-12,1
LAL,2011,Kobe Bryant,2011-12,1
LAC,2011,Blake Griffin,2011-12,1
LAC,2011,Chris Paul,2011-12,1
LAL,2011,Andrew Bynum,2011-12,1
OKC,2011,Russell Westbrook,2011-12,1
MIN,2011,Kevin Love,2011-12,1
DAL,2011,Dirk Nowitzki,2011-12,1
MEM,2011,Marc Gasol,2011-12,1
SAS,2011,Tony Parker,2011-12,1
POR,2011,LaMarcus Aldridge,2011-12,1
PHO,2011,Steve Nash,2011-12,1
MIA,2011,Dwyane Wade,2011-12,1
MIA,2011,LeBron James,2011-12,1
ORL,2011,Dwight Howard,2011-12,1
NYK,2011,Carmelo Anthony,2011-12,1
CHI,2011,Derrick Rose,2011-12,1
MIA,2011,Chris Bosh,2011-12,1
NJN,2011,Deron Williams,2011-12,1
BOS,2011,Rajon Rondo,2011-12,1
PHI,2011,Andre Iguodala,2011-12,1
BOS,2011,Paul Pierce,2011-12,1
IND,2011,Roy Hibbert,2011-12,1
CHI,2011,Luol Deng,2011-12,1
OKC,2012,Kevin Durant,2012-13,1
LAL,2012,Kobe Bryant,2012-13,1
LAC,2012,Blake Griffin,2012-13,1
LAC,2012,Chris Paul,2012-13,1
LAL,2012,Dwight Howard,2012-13,1
HOU,2012,James Harden,2012-13,1
SAS,2012,Tony Parker,2012-13,1
OKC,2012,Russell Westbrook,2012-13,1
GSW,2012,David Lee,2012-13,1
MEM,2012,Zach Randolph,2012-13,1
POR,2012,LaMarcus Aldridge,2012-13,1
SAS,2012,Tim Duncan,2012-13,1
NYK,2012,Carmelo Anthony,2012-13,1
MIA,2012,LeBron James,2012-13,1
MIA,2012,Dwyane Wade,2012-13,1
MIA,2012,Chris Bosh,2012-13,1
BOS,2012,Kevin Garnett,2012-13,1
CLE,2012,Kyrie Irving,2012-13,1
IND,2012,Paul George,2012-13,1
CHI,2012,Luol Deng,2012-13,1
NYK,2012,Tyson Chandler,2012-13,1
CHI,2012,Joakim Noah,2012-13,1
PHI,2012,Jrue Holiday,2012-13,1
BRK,2012,Brook Lopez,2012-13,1
CLE,2013,Kyrie Irving,2013-14,1
MIA,2013,LeBron James,2013-14,1
IND,2013,Paul George,2013-14,1
NYK,2013,Carmelo Anthony,2013-14,1
MIA,2013,Dwyane Wade,2013-14,1
CHI,2013,Joakim Noah,2013-14,1
WAS,2013,John Wall,2013-14,1
TOR,2013,DeMar DeRozan,2013-14,1
ATL,2013,Paul Millsap,2013-14,1
IND,2013,Roy Hibbert,2013-14,1
MIA,2013,Chris Bosh,2013-14,1
BRK,2013,Joe Johnson,2013-14,1
OKC,2013,Kevin Durant,2013-14,1
MIN,2013,Kevin Love,2013-14,1
LAC,2013,Blake Griffin,2013-14,1
GSW,2013,Stephen Curry,2013-14,1
HOU,2013,James Harden,2013-14,1
LAC,2013,Chris Paul,2013-14,1
HOU,2013,Dwight Howard,2013-14,1
