PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_SLUG,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
1630173,"Achiuwa, Precious",Precious Achiuwa,1,2020,2024,precious_achiuwa,precious_achiuwa,1610612752,New York,Knicks,NYK,knicks,knicks,Y,00
1629121,"Adams, Jaylen",Jaylen Adams,0,2018,2020,jaylen_adams,jaylen_adams,0,,,,,,Y,01
203500,"Adams, Steven",Steven Adams,1,2013,2024,steven_adams,steven_adams,1610612745,Houston,Rockets,HOU,rockets,rockets,Y,00
1628389,"Adebayo, Bam",Bam Adebayo,1,2017,2024,bam_adebayo,bam_adebayo,1610612748,Miami,Heat,MIA,heat,heat,Y,00
1630534,"Agbaji, Ochai",Ochai Agbaji,1,2022,2024,ochai_agbaji,ochai_agbaji,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,00
1642351,"Ajinca, Melvin",Melvin Ajinca,0,2024,2024,melvin_ajinca,melvin_ajinca,0,,,,,,N,00
1630583,"Aldama, Santi",Santi Aldama,1,2021,2024,santi_aldama,santi_aldama,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,01
200746,"Aldridge, LaMarcus",LaMarcus Aldridge,0,2006,2021,lamarcus_aldridge,lamarcus_aldridge,0,,,,,,Y,00
1641725,"Alexander, Trey",Trey Alexander,0,2024,2024,trey_alexander,trey_alexander,0,,,,,,N,00
1630234,"Alexander, Ty-Shon",Ty-Shon Alexander,0,2020,2020,ty-shon_alexander,ty-shon_alexander,0,,,,,,Y,01
1629638,"Alexander-Walker, Nickeil",Nickeil Alexander-Walker,1,2019,2024,nickeil_alexander-walker,nickeil_alexander-walker,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,01
1628960,"Allen, Grayson",Grayson Allen,1,2018,2024,grayson_allen,grayson_allen,1610612756,Phoenix,Suns,PHX,suns,suns,Y,01
1628386,"Allen, Jarrett",Jarrett Allen,1,2017,2024,jarrett_allen,jarrett_allen,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,00
1641851,"Allen, Timmy",Timmy Allen,0,2023,2023,timmy_allen,timmy_allen,0,,,,,,Y,11
1630631,"Alvarado, Jose",Jose Alvarado,1,2021,2024,jose_alvarado,jose_alvarado,1610612740,New Orleans,Pelicans,NOP,pelicans,pelicans,Y,00
202329,"Aminu, Al-Farouq",Al-Farouq Aminu,0,2010,2020,al-farouq_aminu,al-farouq_aminu,0,,,,,,Y,00
1626147,"Anderson, Justin",Justin Anderson,0,2015,2021,justin_anderson,justin_anderson,0,,,,,,Y,01
203937,"Anderson, Kyle",Kyle Anderson,1,2014,2024,kyle_anderson,kyle_anderson,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,01
203507,"Antetokounmpo, Giannis",Giannis Antetokounmpo,1,2013,2024,giannis_antetokounmpo,giannis_antetokounmpo,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,00
1628961,"Antetokounmpo, Kostas",Kostas Antetokounmpo,0,2018,2020,kostas_antetokounmpo,kostas_antetokounmpo,0,,,,,,Y,01
203648,"Antetokounmpo, Thanasis",Thanasis Antetokounmpo,1,2015,2024,thanasis_antetokounmpo,thanasis_antetokounmpo,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,01
2546,"Anthony, Carmelo",Carmelo Anthony,0,2003,2021,carmelo_anthony,carmelo_anthony,0,,,,,,Y,00
1630175,"Anthony, Cole",Cole Anthony,1,2020,2024,cole_anthony,cole_anthony,1610612753,Orlando,Magic,ORL,magic,magic,Y,00
1628384,"Anunoby, OG",OG Anunoby,1,2017,2024,og_anunoby,og_anunoby,1610612752,New York,Knicks,NYK,knicks,knicks,Y,00
1627853,"Arcidiacono, Ryan",Ryan Arcidiacono,0,2017,2023,ryan_arcidiacono,ryan_arcidiacono,0,,,,,,Y,11
2772,"Ariza, Trevor",Trevor Ariza,0,2004,2021,trevor_ariza,trevor_ariza,0,,,,,,Y,00
201571,"Augustin, D.J.",D.J. Augustin,0,2008,2022,d.j._augustin,dj_augustin,0,,,,,,Y,00
1630166,"Avdija, Deni",Deni Avdija,1,2020,2024,deni_avdija,deni_avdija,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,00
1630555,"Ayayi, Joel",Joel Ayayi,0,2021,2021,joel_ayayi,joel_ayayi,0,,,,,,Y,01
1629028,"Ayton, Deandre",Deandre Ayton,1,2018,2024,deandre_ayton,deandre_ayton,1610612757,Portland,Trail Blazers,POR,blazers,blazers,Y,00
1628962,"Azubuike, Udoka",Udoka Azubuike,1,2020,2024,udoka_azubuike,udoka_azubuike,1610612756,Phoenix,Suns,PHX,suns,suns,Y,01
1628407,"Bacon, Dwayne",Dwayne Bacon,0,2017,2020,dwayne_bacon,dwayne_bacon,0,,,,,,Y,01
1630641,"Badji, Ibou",Ibou Badji,1,2022,2024,ibou_badji,ibou_badji,1610612757,Portland,Trail Blazers,POR,blazers,blazers,Y,11
1628963,"Bagley III, Marvin",Marvin Bagley III,1,2018,2024,marvin_bagley_iii,marvin_bagley_iii,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,00
1641735,"Bailey, Amari",Amari Bailey,1,2023,2023,amari_bailey,amari_bailey,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,11
1631116,"Baldwin Jr., Patrick",Patrick Baldwin Jr.,1,2022,2024,patrick_baldwin_jr,patrick_baldwin_jr,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,11
1630163,"Ball, LaMelo",LaMelo Ball,1,2020,2024,lamelo_ball,lamelo_ball,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,00
1628366,"Ball, Lonzo",Lonzo Ball,1,2017,2024,lonzo_ball,lonzo_ball,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,00
1628964,"Bamba, Mo",Mo Bamba,1,2018,2024,mohamed_bamba,mo_bamba,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,00
1631094,"Banchero, Paolo",Paolo Banchero,1,2022,2024,paolo_banchero,paolo_banchero,1610612753,Orlando,Magic,ORL,magic,magic,Y,00
1630217,"Bane, Desmond",Desmond Bane,1,2020,2024,desmond_bane,desmond_bane,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,00
1630625,"Banton, Dalano",Dalano Banton,1,2021,2024,dalano_banton,dalano_banton,1610612757,Portland,Trail Blazers,POR,blazers,blazers,Y,11
1627760,"Barber, Cat",Cat Barber,0,2021,2021,cat_barber,cat_barber,0,,,,,,Y,01
1631230,"Barlow, Dominick",Dominick Barlow,1,2022,2024,dominick_barlow,dominick_barlow,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,11
203084,"Barnes, Harrison",Harrison Barnes,1,2012,2024,harrison_barnes,harrison_barnes,1610612758,Sacramento,Kings,SAC,kings,kings,Y,00
1630567,"Barnes, Scottie",Scottie Barnes,1,2021,2024,scottie_barnes,scottie_barnes,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,00
1629628,"Barrett, RJ",RJ Barrett,1,2019,2024,rj_barrett,rj_barrett,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,00
203115,"Barton, Will",Will Barton,0,2012,2022,will_barton,will_barton,0,,,,,,Y,01
1628238,"Bass, Paris",Paris Bass,0,2021,2021,paris_bass,paris_bass,0,,,,,,Y,01
1629646,"Bassey, Charles",Charles Bassey,1,2021,2024,charles_bassey,charles_bassey,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,01
1641734,"Bates, Emoni",Emoni Bates,1,2023,2024,emoni_bates,emoni_bates,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,11
1628966,"Bates-Diop, Keita",Keita Bates-Diop,1,2018,2024,keita_bates-diop,keita_bates-diop,1610612751,Brooklyn,Nets,BKN,nets,nets,Y,01
1642419,"Battle, Jamison",Jamison Battle,0,2024,2024,jamison_battle,jamison_battle,0,,,,,,N,00
201587,"Batum, Nicolas",Nicolas Batum,1,2008,2024,nicolas_batum,nicolas_batum,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,00
203382,"Baynes, Aron",Aron Baynes,0,2012,2020,aron_baynes,aron_baynes,0,,,,,,Y,01
203145,"Bazemore, Kent",Kent Bazemore,0,2012,2021,kent_bazemore,kent_bazemore,0,,,,,,Y,11
1629647,"Bazley, Darius",Darius Bazley,1,2019,2023,darius_bazley,darius_bazley,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,11
203078,"Beal, Bradley",Bradley Beal,1,2012,2024,bradley_beal,bradley_beal,1610612756,Phoenix,Suns,PHX,suns,suns,Y,00
1627736,"Beasley, Malik",Malik Beasley,1,2016,2024,malik_beasley,malik_beasley,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,01
1630699,"Beauchamp, MarJon",MarJon Beauchamp,1,2022,2024,marjon_beauchamp,marjon_beauchamp,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,11
1641736,"Beekman, Reece",Reece Beekman,0,2024,2024,reece_beekman,reece_beekman,0,,,,,,N,00
1628395,"Bell, Jordan",Jordan Bell,0,2017,2021,jordan_bell,jordan_bell,0,,,,,,Y,11
1627761,"Bembry, DeAndre'",DeAndre' Bembry,0,2016,2021,deandre'_bembry,deandre_bembry,0,,,,,,Y,01
1631262,"Bernard, Jules",Jules Bernard,1,2023,2024,jules_bernard,jules_bernard,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,11
202722,"Bertans, Davis",Davis Bertans,1,2016,2023,davis_bertans,davis_bertans,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,01
201976,"Beverley, Patrick",Patrick Beverley,1,2012,2024,patrick_beverley,patrick_beverley,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,01
1630180,"Bey, Saddiq",Saddiq Bey,1,2020,2024,saddiq_bey,saddiq_bey,1610612737,Atlanta,Hawks,ATL,hawks,hawks,Y,00
1630189,"Bey, Tyler",Tyler Bey,0,2020,2020,tyler_bey,tyler_bey,0,,,,,,Y,01
203920,"Birch, Khem",Khem Birch,0,2017,2022,khem_birch,khem_birch,0,,,,,,Y,01
1629048,"Bitadze, Goga",Goga Bitadze,1,2019,2024,goga_bitadze,goga_bitadze,1610612753,Orlando,Magic,ORL,magic,magic,Y,01
1641931,"Bitim, Onuralp",Onuralp Bitim,1,2023,2024,onuralp_bitim,onuralp_bitim,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,11
202687,"Biyombo, Bismack",Bismack Biyombo,1,2011,2023,bismack_biyombo,bismack_biyombo,1610612760,Oklahoma City,Thunder,OKC,thunder,thunder,Y,00
202357,"Bjelica, Nemanja",Nemanja Bjelica,0,2015,2021,nemanja_bjelica,nemanja_bjelica,0,,,,,,Y,00
1641710,"Black, Anthony",Anthony Black,1,2023,2024,anthony_black,anthony_black,1610612753,Orlando,Magic,ORL,magic,magic,Y,00
1641778,"Black, Leaky",Leaky Black,1,2023,2023,leaky_black,leaky_black,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,11
202339,"Bledsoe, Eric",Eric Bledsoe,0,2010,2021,eric_bledsoe,eric_bledsoe,0,,,,,,Y,01
