first,last,team,year,games_played,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct
Julius,Erving,PHI,1980,82,35:02:00,9.68,18.59,0.05,0.22,5.15,6.54,2.28,5.83,8.01,4.44,2.62,1.73,3.4,2.84,24.56,0.521,0.22,0.787
Eddie,Johnson,ATL,1980,75,35:55:00,7.64,15.16,0.08,0.32,3.72,4.75,0.68,0.95,2.39,5.47,1.54,0.11,2.7,2.53,19.08,0.504,0.249,0.784
Artis,Gilmore,CHI,1980,81,34:31:00,6.67,9.93,0,0,4.56,6.46,3.42,6.84,10.06,2.15,0.77,2.43,3.31,3.58,17.89,0.672,0,0.706
Reggie,Theus,CHI,1980,81,34:20:00,6.58,13.38,0.22,1.09,5.46,6.75,1.5,1.73,3.56,5.41,1.73,0.28,3.65,3.14,18.84,0.492,0.203,0.808
Larry,Bird,BOS,1980,82,39:30:00,8.77,18.33,0.24,0.92,3.45,4,2.71,10.53,10.91,5.5,2.61,0.84,3.69,2.91,21.23,0.478,0.266,0.863
Robert,Parish,BOS,1980,82,28:01:00,7.74,14.22,0,0.01,3.44,4.84,3.86,7.43,9.48,1.77,1.1,3,2.41,3.78,18.93,0.545,0,0.71
Nate,Archibald,BOS,1980,80,35:15:00,4.78,9.58,0,0.09,4.28,5.24,0.11,1.28,2.2,7.73,1.24,0.22,3.61,2.5,13.83,0.499,0,0.816
Micheal,Ray Richardson,NYK,1980,78,40:06:00,6.59,14.13,0.29,1.39,2.83,4.26,2.21,3.86,6.9,7.99,3.66,0.42,3.67,3.27,16.31,0.466,0.212,0.666
Marques,Johnson,MIL,1980,76,33:26:00,8.37,15.17,0,0.13,3.54,5.04,2.32,3.58,6.79,4.54,1.5,0.55,2.59,2.58,20.28,0.552,0,0.702
Bobby,Jones,PHI,1980,81,25:15:00,5.02,9.32,0,0.04,3.48,4.28,1.83,2.94,5.37,2.79,1.39,0.99,1.76,2.75,13.53,0.539,0,0.813
Mike,Mitchell,CLE,1980,82,38:57:00,10.4,21.84,0.05,0.11,3.68,4.7,2.59,3.53,6.12,1.7,0.75,0.63,2.27,2.43,24.54,0.476,0.439,0.784
Paul,Westphal,SEA,1980,36,29:56:00,6.14,13.89,0.17,0.69,4.25,5.11,0.31,1.58,1.89,4.11,1.11,0.46,2.17,1.94,16.69,0.442,0.24,0.832
George,Gervin,SAS,1980,82,33:43:00,10.37,21.11,0.11,0.44,6.24,7.56,1.39,3.33,5.11,3.17,1.15,0.63,3.38,2.59,27.09,0.491,0.25,0.826
Kareem,Abdul-Jabbar,LAL,1980,80,37:12:00,10.45,18.21,0,0.01,5.29,6.9,2.51,7.76,10.26,3.4,0.75,2.87,3.08,3.05,26.19,0.574,0,0.766
Walter,Davis,PHO,1980,78,27:58:00,7.6,14.12,0.09,0.22,2.68,3.21,0.79,1.72,2.56,3.87,1.26,0.15,2.85,2.46,17.97,0.539,0.412,0.836
Adrian,Dantley,UTA,1980,77,42:35:00,11.29,20.13,0.03,0.06,7.86,9.79,2.33,3.19,6.22,4.05,1.47,0.22,3.54,3.07,30.45,0.561,0.416,0.802
Jamaal,Wilkes,LAL,1980,81,37:22:00,9.7,18.46,0.01,0.16,3.14,4.14,1.79,3.6,5.37,2.9,1.5,0.35,2.61,2.75,22.56,0.526,0.077,0.758
Dennis,Johnson,PHO,1980,79,33:06:00,6.73,15.44,0.14,0.65,5.2,6.34,2.04,2.52,4.59,3.68,1.72,0.76,2.63,3.09,18.81,0.436,0.216,0.82
Moses,Malone,HOU,1980,77,40:26:00,10.03,19.29,0.01,0.03,7.62,10.08,7,9.54,14.82,1.78,1.07,1.92,4.04,2.79,27.69,0.52,0.39,0.756
Truck,Robinson,PHO,1980,82,37:39:00,7.89,15.61,0,0,3.04,4.83,2.64,7.08,9.62,2.51,0.83,0.46,3.05,2.68,18.82,0.505,0,0.629
Jack,Sikma,SEA,1980,82,35:36:00,7.26,15.99,0,0.06,4.15,5.04,2.28,8.11,10.39,3.04,1.05,1.16,2.45,3.44,18.66,0.454,0,0.823
Otis,Birdsong,KCK,1980,71,36:32:00,10.01,18.39,0.14,0.56,4.46,6.41,1.69,1.93,3.63,3.28,1.35,0.25,2.34,2.42,24.63,0.544,0.251,0.697
Julius,Erving,PHI,1981,81,34:25:00,9.63,17.63,0.04,0.14,5.07,6.65,2.5,4.5,6.88,3.94,2.37,1.74,2.76,2.83,24.37,0.546,0.273,0.763
Larry,Bird,BOS,1981,77,37:56:00,9.23,18.36,0.14,0.66,4.26,4.96,3.09,8.82,10.87,5.81,2.11,1.02,3.56,3.17,22.87,0.503,0.216,0.859
Nate,Archibald,BOS,1981,68,31:52:00,4.53,9.59,0.09,0.23,3.47,4.62,0.06,0.82,1.71,7.96,0.56,0,2.78,1.93,12.62,0.472,0.39,0.752
Isiah,Thomas,DET,1981,72,33:45:00,6.29,14.81,0.24,0.84,4.19,5.96,0.36,0.79,2.97,7.86,2.9,0.32,3.76,3.51,17.01,0.425,0.282,0.704
Artis,Gilmore,CHI,1981,82,34:05:00,6.66,10.2,0.01,0.01,5.17,6.73,3.25,6.75,10.21,1.67,0.83,2.88,3.48,3.5,18.5,0.653,0.963,0.768
Sidney,Moncrief,MIL,1981,80,37:19:00,6.95,13.29,0.01,0.18,5.85,7.16,2.82,3.91,6.66,4.78,1.75,0.29,2.57,2.58,19.76,0.523,0.07,0.817
Buck,Williams,NJN,1981,78,34:16:00,6.26,10.6,0,0,2.99,4.78,5.2,8.9,12.06,1.27,0.82,1.09,3.24,3.54,15.5,0.59,0,0.625
Robert,Parish,BOS,1981,80,31:41:00,8.36,15.44,0,0,3.15,4.44,4.62,8.46,10.83,1.75,1.05,2.74,3,3.36,19.88,0.542,0,0.71
Micheal,Ray Richardson,NYK,1981,80,37:08:00,7.59,16.45,0.24,1.43,2.6,3.69,1.9,5.2,6.95,7.04,2.89,0.39,4.04,3.89,18.01,0.461,0.166,0.705
Kelly,Tripucka,DET,1981,82,37:32:00,7.76,15.62,0.06,0.29,6.04,7.56,1.8,2,5.4,3.29,1.13,0.22,3.68,2.94,21.61,0.496,0.213,0.798
Bobby,Jones,PHI,1981,76,28:41:00,5.47,9.7,0,0.04,3.46,4.38,0.8,3.5,5.17,2.49,1.65,1.49,2,2.78,14.41,0.564,0,0.79
Bob,Lanier,MIL,1981,74,26:56:00,5.5,9.85,0,0.03,2.46,3.27,1,3.71,5.24,2.96,0.96,0.78,2.23,2.85,13.46,0.558,0,0.752
George,Gervin,SAS,1981,79,35:39:00,12.57,25.19,0.13,0.45,7.03,8.13,1.81,3.15,4.96,2.32,0.96,0.58,2.79,2.72,32.29,0.499,0.282,0.864
Gus,Williams,SEA,1981,80,35:53:00,9.66,19.9,0.11,0.51,4,5.43,1.15,1.91,3.05,6.86,2.26,0.49,2.48,2.04,23.44,0.486,0.222,0.737
Kareem,Abdul-Jabbar,LAL,1981,76,35:13:00,9.91,17.12,0,0.04,4.11,5.82,2.57,6.64,8.67,2.96,0.94,2.77,2.98,2.95,23.92,0.579,0,0.706
Adrian,Dantley,UTA,1981,76,39:41:00,11.09,19.66,0,0.03,7.96,10.12,3,3.79,6.22,4.07,1.33,0.21,3.57,3.07,30.14,0.564,0,0.787
Lonnie,Shelton,SEA,1981,81,33:01:00,6.27,12.91,0,0.1,2.32,2.96,1.96,4.31,6.28,3.11,1.31,0.4,2.48,3.91,14.86,0.486,0,0.783
Magic,Johnson,LAL,1981,78,38:20:00,7.13,13.28,0.08,0.37,4.22,5.55,3.72,6.07,9.63,9.53,2.68,0.56,3.74,2.87,18.55,0.537,0.209,0.76
Jack,Sikma,SEA,1981,82,37:14:00,7.09,14.78,0.02,0.15,5.45,6.38,2.72,9.96,12.66,3.38,1.4,1.42,2.58,3.26,19.65,0.479,0.165,0.855
Moses,Malone,HOU,1981,76,41:57:00,11.7,22.62,0,0.08,7.71,10.09,8.03,8.27,14.72,1.8,0.92,1.53,3.02,2.61,31.11,0.517,0,0.764
Norm,Nixon,LAL,1981,82,36:52:00,7.66,15.54,0.04,0.17,2.21,2.73,0.49,1.17,2.22,7.95,1.95,0.06,2.59,3.23,17.56,0.493,0.216,0.808
Dennis,Johnson,PHO,1981,80,36:42:00,7.21,15.25,0.1,0.51,4.99,6.19,1.75,3.26,5.13,4.61,1.31,0.69,2.91,3.16,19.51,0.473,0.195,0.806
Bernard,King,GSW,1981,79,36:12:00,9.37,16.54,0.01,0.06,4.46,6.32,1.78,4.19,5.94,3.57,0.99,0.29,3.41,3.61,23.2,0.566,0.2,0.705
Alex,English,DEN,1981,82,36:46:00,10.43,18.94,0,0.1,4.54,5.4,2.56,4.24,6.8,5.28,1.06,1.46,3.18,3.18,25.39,0.551,0,0.84
Isiah,Thomas,DET,1982,80,38:06:00,8.93,18.98,0.44,1.51,4.54,6.4,1.45,2.92,4,7.85,2.48,0.39,4.19,3.94,22.83,0.47,0.289,0.709
Larry,Bird,BOS,1982,79,37:44:00,9.46,18.75,0.28,0.97,4.44,5.29,2.62,8.52,11.01,5.8,1.89,0.91,3.2,2.49,23.63,0.504,0.286,0.84
Julius,Erving,PHI,1982,72,33:35:00,8.4,16.25,0.03,0.08,4.58,6.04,2.84,4.5,6.82,3.65,1.54,1.82,2.74,2.81,21.42,0.517,0.333,0.759
Moses,Malone,PHI,1982,78,37:28:00,8.38,16.73,0,0,7.69,10.1,6.07,9.82,15.35,1.29,1.07,2.01,3.23,2.64,24.46,0.501,0,0.761
Maurice,Cheeks,PHI,1982,79,31:15:00,5.11,9.43,0.01,0.06,2.29,3.04,0.72,1.72,2.65,6.87,2.33,0.39,2.19,2.3,12.53,0.542,0.2,0.754
Sidney,Moncrief,MIL,1982,76,35:39:00,7.97,15.21,0.01,0.13,6.57,7.95,2.67,3.29,5.75,3.97,1.42,0.32,2.58,2.37,22.53,0.524,0.1,0.826
Marques,Johnson,MIL,1982,80,35:39:00,9.04,17.75,0.05,0.25,3.3,4.49,2.48,4.42,7.03,4.54,1.25,0.7,2.44,2.64,21.43,0.509,0.2,0.735
Buck,Williams,NJN,1982,82,36:06:00,6.54,11.12,0,0.06,3.95,6.38,4.67,8.35,12.52,1.54,1.04,1.3,3.11,3.29,17.02,0.588,0,0.62
Robert,Parish,BOS,1982,78,31:22:00,7.94,14.42,0,0.01,3.47,4.97,3.4,7.34,10.6,1.81,1.03,1.82,2.29,2.85,19.35,0.55,0,0.698
Andrew,Toney,PHI,1982,81,30:31:00,7.73,15.43,0.27,0.94,4,5.07,0.49,2.18,2.78,4.51,0.93,0.21,3.18,3.15,19.73,0.501,0.289,0.788
Reggie,Theus,CHI,1982,81,34:54:00,9.15,19.1,0.26,1.15,5.32,6.64,1.09,2.3,3.68,5.91,1.89,0.2,4,3.43,23.88,0.479,0.225,0.801
Bill,Laimbeer,DET,1982,81,35:02:00,5.35,10.73,0.02,0.16,2.99,3.77,3.53,9.09,12.15,3.21,0.58,1.54,2.21,3.93,13.7,0.498,0.156,0.793
Magic,Johnson,LAL,1982,79,36:47:00,6.47,11.81,0,0.27,3.85,4.81,2.65,6.02,8.65,10.49,2.25,0.54,3.87,2.53,16.78,0.548,0,0.8
Kareem,Abdul-Jabbar,LAL,1982,79,32:20:00,9.14,15.54,0,0.03,3.52,4.7,2.23,5.42,7.49,2.53,0.87,2.19,2.59,2.78,21.8,0.588,0,0.749
Maurice,Lucas,PHO,1982,77,33:35:00,6.43,13.57,0.01,0.04,3.61,4.62,2.82,7.78,10.38,2.84,0.73,0.56,2.87,3.56,16.48,0.474,0.333,0.781
Alex,English,DEN,1982,82,36:26:00,11.7,22.65,0.02,0.14,4.95,5.98,3.36,4.05,7.33,4.85,1.39,1.55,3.2,2.87,28.37,0.516,0.175,0.829
David,Thompson,SEA,1982,75,28:44:00,5.93,12.33,0.03,0.14,3.97,5.07,1.28,2.32,3.6,2.96,0.65,0.43,2.17,1.89,15.87,0.481,0.192,0.784
Jim,Paxson,POR,1982,81,33:49:00,8.42,16.33,0.05,0.31,4.79,5.9,0.84,1.31,2.15,2.85,1.73,0.21,1.93,1.98,21.68,0.515,0.16,0.812
Jack,Sikma,SEA,1982,75,34:11:00,6.45,13.91,0,0.11,5.33,6.37,2.83,8.6,11.43,3.11,1.17,0.87,2.53,3.51,18.24,0.464,0,0.837
Artis,Gilmore,SAS,1982,82,34:06:00,6.78,10.83,0,0.08,4.48,6.05,3.58,8.07,12,1.54,0.49,2.34,2.94,3.32,18.04,0.626,0,0.74
Jamaal,Wilkes,LAL,1982,80,31:53:00,8.55,16.13,0,0.08,2.54,3.35,1.89,2.41,4.29,2.28,1,0.22,1.95,2.76,19.64,0.53,0,0.757
Gus,Williams,SEA,1982,80,34:30:00,8.25,17.29,0.03,0.49,3.48,4.63,0.9,1.66,2.56,7.98,2.24,0.36,2.88,1.48,20,0.477,0.051,0.751
George,Gervin,SAS,1982,78,36:16:00,9.71,19.91,0.15,0.45,6.63,7.77,1.42,3.21,4.58,3.33,1.1,0.85,3.09,3.12,26.19,0.487,0.34,0.853
Kiki,Vandeweghe,DEN,1982,82,35:28:00,10.26,18.74,0.18,0.62,5.96,6.82,1.5,3.69,5.33,2.48,0.79,0.44,2.13,2.41,26.66,0.547,0.295,0.875
