"Player","eFG.","TRB","AST","STL","BLK","PTS","PER","USG.","WS","BPM","VORP","POS","AGE","PREV_CONT"
"A.J. Lawson",0.5,1.2,0.5,0.2,0.1,3.2,11.2,20,0.2,-4.6,-0.2,"F",23.8,"$1,978,006.00"
"Aaron Holiday",0.547,1.6,1.8,0.5,0.1,6.6,11.5,16.7,2.5,-1.5,0.2,"PG",27.7,"$2,346,614.00"
"Aaron Wiggins",0.645,2.4,1.1,0.7,0.2,6.9,15.6,16.4,3.7,0.7,0.8,"SG",25.4,"$1,597,053.00"
"Adama Sanogo",0.519,4,0,0.1,0,4,21.9,24.8,0.2,-6.7,-0.1,"PF",22.3,"$0.00"
"Admiral Schofield",0.5,0.7,0.3,0,0,1.1,6,16.6,0,-4.9,-0.1,"SF",27.2,"$1,251,873.00"
"Alec Burks",0.478,2.3,1.3,0.4,0.2,10.4,12.9,24.4,1.4,-2.3,-0.1,"SG",32.8,"$10,012,800.00"
"Alex Len",0.617,2.7,1,0.2,0.7,2.5,14.7,11.8,1.3,0.2,0.2,"C",30.9,"$3,196,448.00"
"Alondes Williams",0.25,0.1,0,0,0.1,0.7,-7.9,29.1,-0.1,-23.2,-0.1,"G",24.9,"$0.00"
"Amari Bailey",0.354,0.9,0.7,0.3,0,2.3,9.7,21.1,-0.1,-8.3,-0.1,"PG",20.2,"$0.00"
"Andre Drummond",0.556,9,0.5,0.9,0.6,8.4,23,21.3,4.9,0.1,0.7,"C",30.8,"$3,280,000.00"
"Anthony Gill",0.5,1.9,0.7,0.3,0.2,3.8,12.1,18,0.4,-4.1,-0.3,"PF",31.6,"$1,916,664.00"
"Ashton Hagans",0.465,2.4,2.8,0.6,0.5,4.2,8.5,14.6,0,-3.5,-0.1,"PG",24.9,"$10,355.00"
"Bismack Biyombo",0.565,5.2,1.3,0.3,0.9,4.4,9.9,10.7,1.1,-3.4,-0.3,"C",31.8,"$1,194,075.00"
"Boban Marjanovic",0.529,2.3,0.4,0.1,0.1,3.2,21.1,27,0.2,-0.3,0,"C",35.8,"$2,891,467.00"
"Bol Bol",0.689,3.2,0.4,0.2,0.6,5.2,18.7,16.5,1.6,2.1,0.5,"PF",24.5,"$2,165,000.00"
"Brandon Boston Jr.",0.447,1.6,0.4,0.3,0.3,5.2,8.7,25.4,-0.3,-9,-0.6,"SG",22.5,"$1,441,624.00"
"Brandon Williams",0.398,0.8,1,0.1,0.1,3.2,9.3,26,-0.1,-5.5,-0.1,"PG",24.5,"$0.00"
"Braxton Key",0.471,0.9,0.5,0.1,0.1,1.1,16.5,15.7,0.2,2.1,0.1,"SF",27.2,"$0.00"
"Bruce Brown",0.523,4.2,2.9,0.9,0.3,10.8,11.6,16.5,2.2,-3.3,-0.6,"SG",27.8,"$22,500,000.00"
"Buddy Hield",0.565,3.2,2.8,0.8,0.5,12.1,13.3,19.2,3.5,0.4,1.3,"SG",31.4,"$23,500,000.00"
"Caleb Martin",0.504,4.4,2.2,0.7,0.5,10,10.8,17.3,2.4,-2,0,"SF",28.7,"$6,802,950.00"
"Cam Reddish",0.468,2.1,1,1,0.3,5.4,7.7,12.7,0.6,-3.2,-0.3,"SF",24.8,"$2,314,473.00"
